汤臣豪园(二期) ,4室3厅,268.73平米,南,精装,下叠(共5层),浦东,2280,"84,844元/平"
汇锦城二期 ,4室2厅,140.59平米,南 北,精装,15层,浦东,493,"35,067元/平"
大华锦绣华城(十一街区) ,3室2厅,108.83平米,南 北,精装,低楼层(共20层),浦东,993,"91,244元/平"
玉兰香苑二期A块 ,3室2厅,116.29平米,南,精装,高楼层(共6层),浦东,680,"58,475元/平"
昱丽家园 ,1室1厅,57.07平米,南,简装,低楼层(共14层),浦东,230,"40,302元/平"
临港家园 ,3室2厅,120.73平米,南 北,简装,高楼层(共4层),浦东,308,"25,512元/平"
瑞和苑 ,2室1厅,75.08平米,南 北,简装,高楼层(共12层),浦东,330,"43,954元/平"
香楠小区 ,3室1厅,75.2平米,南,简装,高楼层(共6层),浦东,515,"68,485元/平"
保利金色唐城 ,2室1厅,75.67平米,南 北,精装,高楼层(共6层),浦东,490,"64,755元/平"
瑞和苑 ,2室1厅,75.49平米,南,简装,中楼层(共14层),浦东,325,"43,053元/平"
保利金色唐城 ,2室1厅,82.94平米,南,精装,中楼层(共4层),浦东,520,"62,696元/平"
丽泽兰馨苑 ,5室2厅,162.14平米,南 北,精装,中楼层(共6层),浦东,280,"17,270元/平"
中金海棠湾(三期) ,3室2厅,145.87平米,南 北,毛坯,低楼层(共7层),浦东,850,"58,272元/平"
金唐公寓 ,2室2厅,85.95平米,南,精装,高楼层(共6层),浦东,440,"51,193元/平"
万馨佳园 ,2室1厅,74.16平米,南 北,精装,低楼层(共6层),浦东,400,"53,938元/平"
宝业万华城 ,3室2厅,120.19平米,南 西,其他,低楼层(共14层),浦东,388,"32,283元/平"
欧风家园 ,1室1厅,54.06平米,南 北,简装,低楼层(共5层),浦东,237,"43,841元/平"
申城佳苑三期 ,2室1厅,90.33平米,南,简装,中楼层(共18层),浦东,564,"62,438元/平"
虹御公寓 ,3室2厅,114.85平米,南,精装,高楼层(共6层),浦东,540,"47,018元/平"
东唐苑 ,3室2厅,134.4平米,南,精装,中楼层(共6层),浦东,620,"46,131元/平"
鹤沙航城东茗苑 ,1室1厅,54.48平米,南,毛坯,低楼层(共18层),浦东,202,"37,078元/平"
保利金爵公寓 ,2室1厅,71.37平米,南,精装,低楼层(共14层),浦东,485,"67,956元/平"
新德路506弄 ,2室1厅,62.8平米,南,简装,低楼层(共6层),浦东,260,"41,402元/平"
申城佳苑三期 ,1室1厅,58.91平米,南,简装,高楼层(共18层),浦东,380,"64,506元/平"
大华锦绣华城(十一街区) ,2室2厅,108.83平米,南,精装,低楼层(共20层),浦东,990,"90,968元/平"
瑞和苑 ,1室1厅,54.45平米,南,毛坯,中楼层(共14层),浦东,243,"44,629元/平"
美林小城 ,3室2厅,101.49平米,南,简装,低楼层(共6层),浦东,610,"60,105元/平"
曙光北苑 ,3室2厅,118.15平米,南,精装,低楼层(共11层),浦东,550,"46,551元/平"
朱家门小区 ,2室1厅,48.64平米,南,精装,低楼层(共6层),浦东,325,"66,818元/平"
莱阳新家园 ,2室1厅,80.82平米,南,精装,中楼层(共6层),浦东,545,"67,434元/平"
潼港六村 ,3室1厅,93.02平米,南,简装,低楼层(共6层),浦东,390,"41,927元/平"
梅园新村(浦东) ,2室0厅,53.16平米,南,精装,中楼层(共6层),浦东,540,"101,581元/平"
星颂家园 ,2室1厅,72.64平米,南,毛坯,低楼层(共18层),浦东,360,"49,560元/平"
陆家嘴中央公寓 ,4室2厅,177.67平米,南,精装,低楼层(共12层),浦东,1780,"100,186元/平"
芳雅苑 ,2室1厅,74.86平米,南,简装,高楼层(共7层),浦东,480,"64,120元/平"
张桥小区 ,2室1厅,68.28平米,南,简装,高楼层(共6层),浦东,380,"55,654元/平"
古北御庭 ,3室2厅,125平米,南,精装,低楼层(共19层),浦东,1610,"128,800元/平"
海尚康庭 ,2室2厅,75.11平米,南,简装,中楼层(共14层),浦东,350,"46,599元/平"
天环苑 ,2室1厅,77.41平米,南,毛坯,高楼层(共6层),浦东,260,"33,588元/平"
六荷苑小区 ,2室1厅,72平米,西南,简装,低楼层(共6层),浦东,412,"57,223元/平"
海德苑 ,3室2厅,136.48平米,南,精装,低楼层(共7层),浦东,1190,"87,193元/平"
朱家门小区 ,2室1厅,54.72平米,南 北,简装,低楼层(共6层),浦东,345,"63,049元/平"
莱阳北小区 ,2室1厅,60.24平米,南,精装,高楼层(共6层),浦东,380,"63,082元/平"
潍坊二村 ,2室1厅,61.8平米,南,精装,低楼层(共6层),浦东,540,"87,379元/平"
南新西园 ,3室2厅,107.39平米,南,精装,低楼层(共18层),浦东,535,"49,819元/平"
圣鑫苑 ,3室2厅,133.11平米,南 北,精装,中楼层(共18层),浦东,698,"52,438元/平"
金杨七街坊 ,2室1厅,55.01平米,西南,简装,高楼层(共6层),浦东,350,"63,625元/平"
利津小区 ,2室1厅,69.2平米,南,精装,中楼层(共18层),浦东,435,"62,862元/平"
艾东小区 ,1室1厅,49.5平米,南,简装,高楼层(共6层),浦东,337,"68,081元/平"
天池一村 ,2室1厅,55.58平米,南,精装,高楼层(共6层),浦东,390,"70,170元/平"
金桂小区 ,3室2厅,88.32平米,南,精装,低楼层(共6层),浦东,900,"101,903元/平"
绿川新苑 ,3室2厅,103.27平米,南,精装,高楼层(共6层),浦东,626,"60,618元/平"
学北路20弄 ,2室1厅,73平米,南,简装,中楼层(共6层),浦东,305,"41,781元/平"
金橘新苑（北区） ,1室1厅,62.71平米,南,精装,14层,浦东,490,"78,138元/平"
艺泰安邦 ,2室2厅,109.06平米,南,简装,低楼层(共17层),浦东,274,"25,124元/平"
民乐城朗苑 ,1室1厅,58.02平米,东南,毛坯,低楼层(共13层),浦东,195,"33,610元/平"
绿洲康城亲水湾(中央区) ,2室1厅,108.11平米,北,精装,低楼层(共8层),浦东,685,"63,362元/平"
海洲桃花园一期 ,2室2厅,81.11平米,南,简装,高楼层(共11层),浦东,315,"38,837元/平"
新舒苑 ,2室1厅,81.6平米,南,简装,高楼层(共6层),浦东,165,"20,221元/平"
美林小城 ,3室2厅,115.21平米,南,精装,低楼层(共13层),浦东,589,"51,125元/平"
丽水雅苑北苑 ,3室1厅,82.44平米,南 北,毛坯,低楼层(共21层),浦东,256,"31,053元/平"
恒大小区 ,3室2厅,111.94平米,南 北,简装,高楼层(共6层),浦东,710,"63,427元/平"
博山小区 ,2室1厅,63.73平米,南 西南 西,精装,低楼层(共25层),浦东,445,"69,826元/平"
绿地康桥新苑 ,3室2厅,86.98平米,南 北,简装,低楼层(共6层),浦东,457,"52,541元/平"
丽水雅苑 ,2室1厅,69.9平米,南 北,毛坯,高楼层(共18层),浦东,228,"32,619元/平"
城中花园 ,2室1厅,102.47平米,南 北,毛坯,高楼层(共12层),浦东,630,"61,482元/平"
黄楼新世纪花苑 ,3室2厅,137.07平米,南,毛坯,中楼层(共5层),浦东,475,"34,654元/平"
高行绿洲(五期) ,3室1厅,93.2平米,南,毛坯,低楼层(共14层),浦东,505,"54,185元/平"
绿川新苑 ,1室1厅,48.81平米,南,简装,中楼层(共6层),浦东,259,"53,063元/平"
金杨新村五街坊 ,1室1厅,48.83平米,南,简装,高楼层(共6层),浦东,295,"60,414元/平"
瑞康苑 ,2室1厅,72.05平米,南,简装,低楼层(共31层),浦东,395,"54,824元/平"
大华锦绣华城(一街区) ,1室1厅,57.82平米,南,简装,低楼层(共18层),浦东,488,"84,400元/平"
虹南小区(浦东) ,2室1厅,65.1平米,南,简装,高楼层(共5层),浦东,370,"56,836元/平"
金杨新村十一街坊 ,2室1厅,54.82平米,南,精装,高楼层(共6层),浦东,355,"64,758元/平"
绿地东岸涟城 ,2室2厅,86平米,南 北,精装,中楼层(共12层),浦东,249,"28,954元/平"
百欣苑 ,2室2厅,84.11平米,南,精装,高楼层(共6层),浦东,270,"32,101元/平"
山泉花苑 ,3室2厅,127.84平米,南 北,精装,高楼层(共6层),浦东,1080,"84,481元/平"
众盛公寓 ,3室2厅,104.56平米,东南,精装,高楼层(共7层),浦东,728,"69,626元/平"
莲珠大厦 ,2室1厅,144.77平米,南 北,简装,低楼层(共25层),浦东,570,"39,373元/平"
香山新村东南街坊 ,1室1厅,39.76平米,南,简装,高楼层(共6层),浦东,249,"62,626元/平"
星颂家园 ,2室1厅,56.29平米,南,精装,中楼层(共24层),浦东,290,"51,519元/平"
民春苑 ,2室1厅,75.22平米,南,简装,中楼层(共6层),浦东,315,"41,878元/平"
潍坊三村 ,1室1厅,33.13平米,南,精装,中楼层(共5层),浦东,300,"90,553元/平"
博一小区 ,2室1厅,59.52平米,南,简装,低楼层(共6层),浦东,355,"59,644元/平"
上南一村 ,1室0厅,34.15平米,南,简装,高楼层(共6层),浦东,298,"87,263元/平"
潍坊八村 ,2室1厅,49.54平米,南,简装,中楼层(共6层),浦东,450,"90,836元/平"
潍坊四村 ,1室1厅,40.63平米,南,简装,高楼层(共6层),浦东,325,"79,991元/平"
光明·唐镇壹号 ,2室2厅,86.02平米,南 北,精装,低楼层(共16层),浦东,480,"55,801元/平"
东升家园(三期) ,2室2厅,93.4平米,南,精装,中楼层(共14层),浦东,285,"30,514元/平"
远洋万和四季 ,3室1厅,100.4平米,南,精装,中楼层(共17层),浦东,416,"41,435元/平"
朱家门小区 ,2室1厅,54.49平米,东南 西北,精装,高楼层(共6层),浦东,340,"62,397元/平"
东方颐城 ,2室2厅,82.85平米,南,毛坯,低楼层(共7层),浦东,223,"26,917元/平"
永泰花苑 ,2室2厅,83.78平米,南 北,精装,高楼层(共18层),浦东,599,"71,497元/平"
古北御庭 ,2室2厅,106.29平米,南,精装,低楼层(共19层),浦东,1306,"122,872元/平"
丽泽荷亭苑 ,2室1厅,80.6平米,南 北,简装,中楼层(共5层),浦东,173,"21,465元/平"
惠益新苑 ,2室2厅,78.69平米,南,简装,低楼层(共18层),浦东,221,"28,085元/平"
和龙新苑 ,2室1厅,55.11平米,南,简装,低楼层(共6层),浦东,289,"52,441元/平"
康桥宝邸 ,2室2厅,74.68平米,南 北,简装,低楼层(共6层),浦东,380,"50,884元/平"
万科清林径 ,3室2厅,93.36平米,南 北,精装,低楼层(共18层),浦东,347,"37,168元/平"
云莲苑 ,3室2厅,100.92平米,南,简装,高楼层(共6层),浦东,665,"65,894元/平"
逸翠公馆 ,3室1厅,111.27平米,南,简装,高楼层(共24层),浦东,955,"85,828元/平"
丽水雅苑 ,3室1厅,81.45平米,南,毛坯,中楼层(共18层),浦东,260,"31,922元/平"
同润金色橘苑 ,3室2厅,92.25平米,南,毛坯,低楼层(共11层),浦东,215,"23,307元/平"
绿洲康城亲水湾(东区) ,3室2厅,130.08平米,南 北,精装,中楼层(共14层),浦东,850,"65,345元/平"
金鹏苑 ,2室1厅,64.3平米,南,精装,低楼层(共6层),浦东,468,"72,784元/平"
锦绣华都 ,2室2厅,90.09平米,南,毛坯,低楼层(共18层),浦东,610,"67,711元/平"
沈默花苑 ,2室2厅,102.37平米,南 北,毛坯,低楼层(共8层),浦东,578,"56,462元/平"
绿洲康城亲水湾(中央区) ,2室1厅,103.38平米,南 北,简装,低楼层(共17层),浦东,610,"59,006元/平"
仁和都市花园 ,3室2厅,93.15平米,南 北,精装,高楼层(共14层),浦东,920,"98,766元/平"
荡湾新村 ,2室1厅,52.44平米,南,简装,高楼层(共5层),浦东,149,"28,414元/平"
南桥小区 ,2室1厅,66.61平米,南,精装,中楼层(共5层),浦东,285,"42,787元/平"
听潮四村 ,2室2厅,72.96平米,南,简装,高楼层(共6层),浦东,203,"27,824元/平"
丽泽兰馨苑 ,3室1厅,102.45平米,南 北,简装,中楼层(共6层),浦东,205,"20,010元/平"
中冶尚城 ,2室1厅,88.1平米,南,毛坯,低楼层(共14层),浦东,820,"93,077元/平"
康桥花园东园 ,3室2厅,102.9平米,东南,简装,高楼层(共6层),浦东,455,"44,218元/平"
昌五小区 ,1室1厅,42.12平米,南,简装,高楼层(共6层),浦东,273,"64,815元/平"
丽水雅苑 ,2室1厅,68.2平米,南,毛坯,低楼层(共18层),浦东,221,"32,405元/平"
金色郦苑 ,1室1厅,57.89平米,南,简装,中楼层(共17层),浦东,230,"39,731元/平"
世华锦城 ,1室1厅,51.71平米,南,精装,低楼层(共18层),浦东,460,"88,958元/平"
新里城和合苑 ,1室1厅,52.96平米,南,精装,低楼层(共6层),浦东,470,"88,747元/平"
德州六村 ,2室1厅,58.44平米,南,简装,中楼层(共5层),浦东,395,"67,591元/平"
高行绿洲(五期) ,1室1厅,54.01平米,南,毛坯,低楼层(共14层),浦东,270,"49,991元/平"
金杨新村三街坊 ,1室1厅,44.56平米,南,简装,高楼层(共6层),浦东,280,"62,837元/平"
海尚康庭 ,2室1厅,81.61平米,南,简装,高楼层(共14层),浦东,365,"44,725元/平"
印象春城 ,3室2厅,131.06平米,南 北,精装,低楼层(共18层),浦东,786,"59,973元/平"
圣鑫苑 ,3室2厅,109平米,南,简装,低楼层(共18层),浦东,538,"49,358元/平"
海尚乐苑 ,2室2厅,75.12平米,南,精装,低楼层(共14层),浦东,375,"49,921元/平"
万科金色城市 ,4室2厅,159.07平米,南,精装,24层,浦东,1650,"103,728元/平"
永泰花苑 ,2室1厅,57.8平米,南,简装,低楼层(共11层),浦东,378,"65,398元/平"
金杨新村三街坊 ,1室1厅,43.13平米,南,简装,高楼层(共7层),浦东,280,"64,921元/平"
盛世东苑 ,2室2厅,76.97平米,东南 南,简装,高楼层(共6层),浦东,315,"40,926元/平"
中金海棠湾（二期） ,2室2厅,113.42平米,南,精装,低楼层(共8层),浦东,644,"56,781元/平"
凌兆新村(上浦路480弄) ,3室1厅,95.5平米,南,简装,低楼层(共6层),浦东,520,"54,451元/平"
昱龙家园 ,3室2厅,93.21平米,南 北,精装,高楼层(共6层),浦东,420,"45,060元/平"
御桥馨华苑 ,3室2厅,106.55平米,南,简装,高楼层(共6层),浦东,770,"72,267元/平"
逸亭佳苑 ,3室1厅,93.05平米,南,精装,低楼层(共14层),浦东,473,"50,833元/平"
鹏丰苑 ,3室2厅,115.82平米,南,简装,17层,浦东,765,"66,051元/平"
美林小城 ,3室2厅,117.11平米,南,精装,中楼层(共8层),浦东,700,"59,773元/平"
香山新村西北街坊 ,3室2厅,81.8平米,南,简装,中楼层(共6层),浦东,575,"70,294元/平"
绿川小区 ,2室1厅,62.78平米,南,简装,低楼层(共6层),浦东,360,"57,344元/平"
宝厦晶公馆 ,2室2厅,90.49平米,南,精装,高楼层(共16层),浦东,530,"58,571元/平"
美林小城 ,2室2厅,84.49平米,南,精装,低楼层(共6层),浦东,495,"58,587元/平"
金杨新村十街坊 ,2室2厅,72.84平米,南,精装,高楼层(共6层),浦东,425,"58,348元/平"
听潮五村 ,3室1厅,92.85平米,南,简装,高楼层(共5层),浦东,250,"26,926元/平"
城中花园 ,2室2厅,106.02平米,南,精装,低楼层(共12层),浦东,630,"59,423元/平"
云帆佳苑 ,1室1厅,48.3平米,南,毛坯,低楼层(共6层),浦东,118,"24,431元/平"
德州七村 ,1室1厅,43.69平米,南,毛坯,中楼层(共6层),浦东,289,"66,148元/平"
三林世博家园(大道站路94弄) ,1室1厅,57平米,南 北,精装,高楼层(共6层),浦东,342,"60,000元/平"
罗山三村 ,2室1厅,49.4平米,南,简装,高楼层(共6层),浦东,330,"66,802元/平"
仙都绿苑 ,2室1厅,81.27平米,南,简装,低楼层(共28层),浦东,495,"60,909元/平"
东明苑 ,1室1厅,43.74平米,南,简装,高楼层(共6层),浦东,282,"64,472元/平"
星颂家园 ,2室1厅,82.13平米,南,毛坯,高楼层(共18层),浦东,420,"51,139元/平"
上钢八九村 ,1室1厅,39.68平米,东,简装,低楼层(共6层),浦东,252,"63,509元/平"
上南八村 ,2室1厅,46.33平米,南 北,简装,高楼层(共6层),浦东,328,"70,797元/平"
海芦镜湖苑 ,3室2厅,103.12平米,南,精装,低楼层(共11层),浦东,200,"19,395元/平"
锦绣满堂北区 ,2室2厅,88.03平米,南 北,精装,低楼层(共21层),浦东,895,"101,670元/平"
印象春城 ,2室2厅,113.89平米,南 北,精装,低楼层(共18层),浦东,600,"52,683元/平"
由由六村 ,2室1厅,44.75平米,南 北,精装,高楼层(共7层),浦东,308,"68,827元/平"
金云苑 ,3室2厅,125.97平米,南,精装,低楼层(共20层),浦东,700,"55,569元/平"
东兴苑 ,2室1厅,55.35平米,南,精装,低楼层(共6层),浦东,308,"55,646元/平"
高行银杏苑 ,2室2厅,71.87平米,南,精装,高楼层(共6层),浦东,410,"57,048元/平"
丝庐雅苑二期 ,2室2厅,88.78平米,南,精装,20层,浦东,330,"37,171元/平"
临港海滨国际花园 ,2室2厅,87.37平米,南,精装,高楼层(共13层),浦东,225,"25,753元/平"
