name,area,direction,floor,total_list,price_list,room,hall,jiading,fengxian,baoshan,chongming,xuhui,putuo,yangpu,songjiang,pudong,hongkou,jinshan,changning,minhang,qingpu,jingan,huangpu,qita,maopi,jianzhuang,jingzhuang
汤臣豪园(二期) ,268.73,1.0,下叠(共5层),2280,84844,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
汇锦城二期 ,140.59,1.0,15层,493,35067,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
大华锦绣华城(十一街区) ,108.83,1.0,低楼层(共20层),993,91244,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
玉兰香苑二期A块 ,116.29,1.0,高楼层(共6层),680,58475,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
昱丽家园 ,57.07,1.0,低楼层(共14层),230,40302,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
临港家园 ,120.73,1.0,高楼层(共4层),308,25512,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
瑞和苑 ,75.08,1.0,高楼层(共12层),330,43954,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
香楠小区 ,75.2,1.0,高楼层(共6层),515,68485,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
保利金色唐城 ,75.67,1.0,高楼层(共6层),490,64755,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
瑞和苑 ,75.49,1.0,中楼层(共14层),325,43053,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
保利金色唐城 ,82.94,1.0,中楼层(共4层),520,62696,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
丽泽兰馨苑 ,162.14,1.0,中楼层(共6层),280,17270,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
中金海棠湾(三期) ,145.87,1.0,低楼层(共7层),850,58272,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
金唐公寓 ,85.95,1.0,高楼层(共6层),440,51193,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
万馨佳园 ,74.16,1.0,低楼层(共6层),400,53938,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
宝业万华城 ,120.19,1.0,低楼层(共14层),388,32283,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
欧风家园 ,54.06,1.0,低楼层(共5层),237,43841,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
申城佳苑三期 ,90.33,1.0,中楼层(共18层),564,62438,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
虹御公寓 ,114.85,1.0,高楼层(共6层),540,47018,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
东唐苑 ,134.4,1.0,中楼层(共6层),620,46131,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
鹤沙航城东茗苑 ,54.48,1.0,低楼层(共18层),202,37078,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
保利金爵公寓 ,71.37,1.0,低楼层(共14层),485,67956,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
新德路506弄 ,62.8,1.0,低楼层(共6层),260,41402,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
申城佳苑三期 ,58.91,1.0,高楼层(共18层),380,64506,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
